复权净值,累计净值,最大回撤,单位净值,涨跌幅,日期,管理人名称,产品代码,产品名称,产品简称,管理人规模,策略类型
1.009,1.009,-0.041785375118708494,1.009,-0.000990099009901101,2018-01-05,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.009,1.009,-0.041785375118708494,1.009,0.0,2018-01-08,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.009,1.009,-0.041785375118708494,1.009,0.0,2018-01-09,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.009,1.009,-0.041785375118708494,1.009,0.0,2018-01-10,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.009,1.009,-0.041785375118708494,1.009,0.0,2018-01-11,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.007,1.007,-0.04368471035137706,1.007,-0.0019821605550049575,2018-01-12,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.007,1.007,-0.04368471035137706,1.007,0.0,2018-01-15,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.004,1.004,-0.04653371320037981,1.004,-0.002979145978152822,2018-01-16,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.002,1.002,-0.048433048433048374,1.002,-0.001992031872509962,2018-01-17,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.002,1.002,-0.048433048433048374,1.002,0.0,2018-01-18,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,-0.04938271604938276,1.001,-0.0009980039920160797,2018-01-19,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.005,1.005,-0.04558404558404563,1.005,0.003996003996004,2018-01-22,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.003,1.003,-0.047483380816714195,1.003,-0.001990049751243783,2018-01-23,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.004,1.004,-0.04653371320037981,1.004,0.0009970089730808693,2018-01-24,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.005,1.005,-0.04558404558404563,1.005,0.0009960159362548703,2018-01-25,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.006,1.006,-0.04463437796771124,1.006,0.000995024875622002,2018-01-26,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.007,1.007,-0.04368471035137706,1.007,0.000994035785288161,2018-01-29,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.007,1.007,-0.04368471035137706,1.007,0.0,2018-01-30,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.004,1.004,-0.04653371320037981,1.004,-0.002979145978152822,2018-01-31,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.01,1.01,-0.0408357075023741,1.01,0.005976095617529886,2018-02-01,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.012,1.012,-0.03893637226970553,1.012,0.001980198019801982,2018-02-02,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.01,1.01,-0.0408357075023741,1.01,-0.0019762845849802388,2018-02-05,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.012,1.012,-0.03893637226970553,1.012,0.001980198019801982,2018-02-06,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.012,1.012,-0.03893637226970553,1.012,0.0,2018-02-07,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.014,1.014,-0.037037037037036966,1.014,0.0019762845849802388,2018-02-08,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.014,1.014,-0.037037037037036966,1.014,0.0,2018-02-09,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.014,1.014,-0.037037037037036966,1.014,0.0,2018-02-12,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.014,1.014,-0.037037037037036966,1.014,0.0,2018-02-13,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.014,1.014,-0.037037037037036966,1.014,0.0,2018-02-14,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.011,1.011,-0.03988603988603993,1.011,-0.002958579881656917,2018-02-22,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.008,1.008,-0.04273504273504267,1.008,-0.002967359050444997,2018-02-23,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.013,1.013,-0.03798670465337135,1.013,0.004960317460317354,2018-02-26,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.015,1.015,-0.036087369420702786,1.015,0.0019743336623889458,2018-02-27,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.015,1.015,-0.036087369420702786,1.015,0.0,2018-02-28,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.018,1.018,-0.03323836657169983,1.018,0.002955665024630654,2018-03-01,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.016,1.016,-0.0351377018043684,1.016,-0.0019646365422396873,2018-03-02,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.015,1.015,-0.036087369420702786,1.015,-0.0009842519685040471,2018-03-05,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
