date,nav_unit,nav_accumulated,nav_adjusted,H11009.CSI,excess_nav
2022-10-21,1.047,2.047,2.0413,1.289,1.7523
2022-10-28,1.059,2.059,2.0647,1.2907,1.774
2022-11-04,1.05,2.05,2.0472,1.2904,1.7568
2022-11-11,1.039,2.039,2.0257,1.2884,1.7373
2022-11-18,1.039,2.039,2.0257,1.282,1.7437
2022-11-25,1.035,2.035,2.0179,1.2843,1.7336
2022-12-02,1.02,2.02,1.9887,1.2823,1.7064
2022-12-09,1.048,2.048,2.0433,1.2802,1.763
2022-12-16,1.037,2.037,2.0218,1.2798,1.742
2022-12-23,1.019,2.019,1.9867,1.2828,1.7039
2022-12-30,1.025,2.025,1.9984,1.2841,1.7143
2023-01-06,1.023,2.023,1.9945,1.2859,1.7086
2023-01-13,1.003,2.003,1.9555,1.2859,1.6696
2023-01-20,0.995,1.995,1.9399,1.2847,1.6552
2023-02-03,1.01,2.01,1.9692,1.2869,1.6822
2023-02-10,1.004,2.004,1.9575,1.2879,1.6695
2023-02-17,0.999,1.999,1.9477,1.2891,1.6586
2023-02-24,0.987,1.987,1.9243,1.2886,1.6357
2023-03-03,0.983,1.983,1.9165,1.289,1.6275
2023-03-10,0.991,1.991,1.9321,1.2917,1.6404
2023-03-17,1.011,2.011,1.9711,1.2934,1.6778
2023-03-24,1.016,2.016,1.9809,1.2946,1.6863
2023-03-31,1.011,2.011,1.9711,1.2961,1.675
2023-04-07,1.008,2.008,1.9653,1.2973,1.6679
2023-04-14,1.011,2.011,1.9711,1.2991,1.672
2023-04-21,1.011,2.011,1.9711,1.3007,1.6704
2023-04-28,1.015,2.015,1.9789,1.3032,1.6757
2023-05-05,1.024,2.024,1.9965,1.3067,1.6898
2023-05-12,1.016,2.016,1.9809,1.3095,1.6714
2023-05-19,1.007,2.007,1.9633,1.3104,1.653
2023-05-26,1.008,2.008,1.9653,1.3115,1.6538
2023-06-02,1.012,2.012,1.9731,1.3131,1.66
2023-06-09,1.009,2.009,1.9672,1.3152,1.652
2023-06-16,1.002,2.002,1.9536,1.3163,1.6372
2023-06-21,0.999,1.999,1.9477,1.3167,1.6311
2023-06-30,0.998,1.998,1.9458,1.3192,1.6266
2023-07-07,0.997,1.997,1.9438,1.3201,1.6237
2023-07-14,0.998,1.998,1.9458,1.3217,1.6241
2023-07-21,0.995,1.995,1.9399,1.3237,1.6162
2023-07-28,0.993,1.993,1.936,1.3237,1.6124
2023-08-04,0.99,1.99,1.9302,1.325,1.6052
2023-08-11,0.993,1.993,1.936,1.3265,1.6096
2023-08-18,1.003,2.003,1.9555,1.3308,1.6247
2023-08-25,1.011,2.011,1.9711,1.3326,1.6385
2023-09-01,1.028,2.028,2.0043,1.3318,1.6725
2023-09-08,1.013,2.013,1.975,1.3278,1.6472
2023-09-15,1.017,2.017,1.9828,1.3287,1.6541
2023-09-22,1.017,2.017,1.9828,1.3273,1.6555
2023-09-28,1.001,2.001,1.9516,1.3283,1.6233
2023-10-13,0.985,1.985,1.9204,1.3275,1.593
2023-10-20,0.999,1.999,1.9477,1.3257,1.622
2023-10-27,0.991,1.991,1.9321,1.3255,1.6066
2023-11-03,1.023,2.023,1.9945,1.3274,1.6671
2023-11-10,1.041,2.041,2.0296,1.3284,1.7012
2023-11-17,1.047,2.047,2.0413,1.3305,1.7108
2023-11-24,1.035,2.035,2.0179,1.3304,1.6875
2023-12-01,1.034,2.034,2.016,1.3326,1.6834
2023-12-08,1.0,2.0,1.9497,1.333,1.6167
2023-12-15,1.021,2.021,1.9906,1.3368,1.6538
2023-12-22,1.012,2.012,1.9731,1.3407,1.6323
2023-12-29,1.016,2.016,1.9809,1.3459,1.635
2024-01-05,1.014,2.014,1.977,1.3479,1.6291
2024-01-12,1.029,2.029,2.0062,1.349,1.6572
2024-01-19,1.032,2.032,2.0121,1.3522,1.6599
2024-01-26,1.043,2.043,2.0335,1.3552,1.6783
2024-02-02,1.043,2.043,2.0335,1.3609,1.6726
2024-02-08,1.044,2.044,2.0355,1.3619,1.6736
2024-02-23,1.043,2.043,2.0335,1.3663,1.6672
2024-03-01,1.044,2.044,2.0355,1.3688,1.6666
2024-03-08,1.048,2.048,2.0433,1.3735,1.6697
2024-03-15,1.058,2.058,2.0627,1.3704,1.6923
2024-03-22,1.055,2.055,2.0569,1.3723,1.6846
2024-03-29,1.047,2.047,2.0413,1.3741,1.6672
2024-04-03,1.048,2.048,2.0433,1.3754,1.6679
2024-04-12,1.035,2.035,2.0179,1.3784,1.6395
2024-04-19,1.039,2.039,2.0257,1.3821,1.6437
2024-04-26,1.037,2.037,2.0218,1.3818,1.64
2024-04-30,1.038,2.038,2.0238,1.3812,1.6426
2024-05-10,1.035,2.035,2.0179,1.3806,1.6373
2024-05-17,1.049,2.049,2.0452,1.3823,1.6629
2024-05-24,1.048,2.048,2.0433,1.3839,1.6593
2024-05-31,1.048,2.048,2.0433,1.3858,1.6574
2024-06-07,1.041,2.041,2.0296,1.389,1.6406
2024-06-14,1.044,2.044,2.0355,1.3914,1.644
2024-06-21,1.057,2.057,2.0608,1.3944,1.6664
2024-06-28,1.066,2.066,2.0783,1.398,1.6803
2024-07-05,1.072,2.072,2.09,1.398,1.692
2024-07-12,1.094,2.094,2.1329,1.399,1.7339
2024-07-19,1.086,2.086,2.1173,1.4004,1.7169
2024-07-26,1.079,2.079,2.1037,1.4053,1.6983
2024-08-02,1.097,2.097,2.1388,1.4108,1.728
2024-08-09,1.117,2.117,2.1778,1.4103,1.7674
2024-08-16,1.113,2.113,2.17,1.4093,1.7607
2024-08-23,1.122,2.122,2.1875,1.4114,1.7761
2024-08-30,1.127,2.127,2.1973,1.4105,1.7868
2024-09-06,1.108,2.108,2.1602,1.4151,1.7451
2024-09-13,1.104,2.104,2.1524,1.4206,1.7318
2024-09-20,1.109,2.109,2.1622,1.4234,1.7388
2024-09-27,1.132,2.132,2.207,1.4166,1.7904
2024-09-30,1.139,2.139,2.2207,1.4139,1.8068
2024-10-11,1.155,2.155,2.2519,1.4139,1.838
2024-10-18,1.172,2.172,2.285,1.4171,1.8679
2024-10-25,1.159,2.159,2.2597,1.4141,1.8456
2024-11-01,1.166,2.166,2.2733,1.4158,1.8575
2024-11-08,1.173,2.173,2.287,1.4193,1.8677
2024-11-15,1.189,2.189,2.3182,1.421,1.8971
2024-11-22,1.186,2.186,2.3123,1.4212,1.8911
2024-11-29,1.178,2.178,2.2967,1.4267,1.87
2024-12-06,1.172,2.172,2.285,1.4338,1.8512
2024-12-13,1.166,2.166,2.2733,1.4463,1.827
2024-12-20,1.175,2.175,2.2909,1.4493,1.8415
2024-12-27,1.184,2.184,2.3084,1.4505,1.8579
2025-01-03,1.192,2.192,2.324,1.459,1.865
2025-01-10,1.186,2.186,2.3123,1.4565,1.8558
2025-01-17,1.178,2.178,2.2967,1.4566,1.8401
2025-01-24,1.171,2.171,2.2831,1.4561,1.8269
2025-01-27,1.172,2.172,2.285,1.4588,1.8262
2025-02-07,1.179,2.179,2.2987,1.4616,1.8371
2025-02-14,1.183,2.183,2.3065,1.4604,1.8461
2025-02-21,1.192,2.192,2.324,1.4529,1.8711
2025-02-28,1.188,2.188,2.3162,1.4486,1.8676
2025-03-07,1.193,2.193,2.326,1.4434,1.8826
2025-03-14,1.184,2.184,2.3084,1.4397,1.8687
2025-03-21,1.183,2.183,2.3065,1.44,1.8665
2025-03-28,1.172,2.172,2.285,1.4421,1.8429
2025-04-03,1.167,2.167,2.2753,1.452,1.8232
2025-04-11,1.173,2.173,2.287,1.4563,1.8306
2025-04-18,1.163,2.163,2.2675,1.457,1.8105
2025-04-25,1.17,2.17,2.2811,1.4564,1.8247
2025-04-30,1.161,2.161,2.2636,1.4605,1.803
2025-05-09,1.153,2.153,2.248,1.4625,1.7855
2025-05-16,1.132,2.132,2.207,1.4592,1.7479
2025-05-23,1.135,2.135,2.2129,1.4602,1.7527
2025-05-30,1.143,2.143,2.2285,1.4601,1.7684
2025-06-06,1.13,2.13,2.2031,1.4622,1.7409
2025-06-13,1.135,2.135,2.2129,1.4654,1.7475
2025-06-20,1.123,2.123,2.1895,1.4691,1.7203
2025-06-27,1.118,2.118,2.1797,1.4684,1.7113
2025-07-04,1.114,2.114,2.1719,1.4707,1.7012
2025-07-11,1.109,2.109,2.1622,1.4693,1.6929
