date,nav_adjusted,H11009.CSI,excess_nav
2022-07-29,2.3308,1.1524,2.1784
2022-08-01,2.3435,1.1537,2.1898
2022-08-02,2.3147,1.1545,2.1602
2022-08-03,2.3057,1.1551,2.1506
2022-08-04,2.3002,1.1559,2.1443
2022-08-05,2.3151,1.156,2.1591
2022-08-08,2.3126,1.1558,2.1568
2022-08-09,2.3128,1.1554,2.1574
2022-08-10,2.3197,1.1556,2.1641
2022-08-11,2.3343,1.1554,2.1789
2022-08-12,2.3331,1.1555,2.1776
2022-08-15,2.3289,1.1583,2.1706
2022-08-16,2.3328,1.1594,2.1734
2022-08-17,2.336,1.1595,2.1765
2022-08-18,2.3412,1.1605,2.1807
2022-08-19,2.3366,1.161,2.1756
2022-08-22,2.3318,1.1615,2.1703
2022-08-23,2.3316,1.1615,2.1701
2022-08-24,2.3155,1.1617,2.1538
2022-08-25,2.309,1.1607,2.1483
2022-08-26,2.3057,1.1602,2.1455
2022-08-29,2.2908,1.1608,2.13
2022-08-30,2.2931,1.1615,2.1316
2022-08-31,2.2779,1.1617,2.1162
2022-09-01,2.2752,1.1621,2.1131
2022-09-02,2.2931,1.1625,2.1306
2022-09-05,2.2777,1.1631,2.1146
2022-09-06,2.2808,1.1635,2.1173
2022-09-07,2.2871,1.1636,2.1235
2022-09-08,2.2777,1.1635,2.1142
2022-09-09,2.2706,1.1631,2.1075
2022-09-13,2.2687,1.1637,2.105
2022-09-14,2.2589,1.163,2.0959
2022-09-15,2.2248,1.1633,2.0615
2022-09-16,2.2236,1.1633,2.0603
2022-09-19,2.2139,1.1634,2.0505
2022-09-20,2.2196,1.1638,2.0558
2022-09-21,2.2275,1.1643,2.0632
2022-09-22,2.2148,1.1645,2.0503
2022-09-23,2.202,1.1643,2.0377
2022-09-26,2.2106,1.1632,2.0474
2022-09-27,2.2052,1.1633,2.0419
2022-09-28,2.201,1.1629,2.0381
2022-09-29,2.2008,1.1621,2.0387
2022-09-30,2.197,1.1619,2.0351
2022-10-10,2.1874,1.1636,2.0238
2022-10-11,2.1828,1.1634,2.0194
2022-10-12,2.1855,1.1637,2.0218
2022-10-13,2.1943,1.1642,2.0301
2022-10-14,2.1924,1.1651,2.0273
2022-10-17,2.1922,1.1652,2.027
2022-10-18,2.1983,1.1656,2.0327
2022-10-19,2.1985,1.1658,2.0327
2022-10-20,2.2029,1.1658,2.0371
2022-10-21,2.2014,1.1659,2.0355
2022-10-24,2.2087,1.1661,2.0426
2022-10-25,2.2238,1.1659,2.0579
2022-10-26,2.2236,1.1661,2.0575
2022-10-27,2.2321,1.1668,2.0653
2022-10-28,2.257,1.1674,2.0896
2022-10-31,2.2842,1.168,2.1162
2022-11-01,2.2743,1.1677,2.1066
2022-11-02,2.2626,1.1673,2.0953
2022-11-03,2.2574,1.1674,2.09
2022-11-04,2.238,1.1671,2.0709
2022-11-07,2.2405,1.1671,2.0734
2022-11-08,2.2457,1.167,2.0787
2022-11-09,2.2461,1.1669,2.0792
2022-11-10,2.2499,1.1665,2.0834
2022-11-11,2.2294,1.1653,2.0641
2022-11-14,2.2173,1.1613,2.056
2022-11-15,2.2148,1.1609,2.0539
2022-11-16,2.2142,1.1592,2.055
2022-11-17,2.216,1.1596,2.0564
2022-11-18,2.2208,1.1595,2.0613
2022-11-21,2.2204,1.1604,2.06
2022-11-22,2.2158,1.1604,2.0554
2022-11-23,2.2096,1.1613,2.0483
2022-11-24,2.22,1.1624,2.0576
2022-11-25,2.2125,1.1616,2.0509
2022-11-28,2.2156,1.161,2.0546
2022-11-29,2.2133,1.1596,2.0537
2022-11-30,2.2091,1.1595,2.0496
2022-12-01,2.2048,1.1595,2.0453
2022-12-02,2.2043,1.1598,2.0445
2022-12-05,2.1995,1.1595,2.04
2022-12-06,2.1968,1.1584,2.0384
2022-12-07,2.2004,1.1583,2.0421
2022-12-08,2.2075,1.1585,2.049
2022-12-09,2.2248,1.1579,2.0669
2022-12-12,2.2334,1.158,2.0754
2022-12-13,2.2277,1.1566,2.0711
2022-12-14,2.219,1.1573,2.0617
2022-12-15,2.2233,1.1576,2.0657
2022-12-16,2.2244,1.1575,2.0669
2022-12-19,2.2129,1.1587,2.0542
2022-12-20,2.2116,1.1589,2.0527
2022-12-21,2.2087,1.1589,2.0498
2022-12-22,2.1999,1.1594,2.0405
2022-12-23,2.1958,1.1602,2.0356
2022-12-26,2.1945,1.1604,2.0341
2022-12-27,2.1933,1.1599,2.0334
2022-12-28,2.1943,1.1598,2.0345
2022-12-29,2.1933,1.1608,2.0325
2022-12-30,2.2018,1.1614,2.0404
2023-01-03,2.1981,1.1623,2.0358
2023-01-04,2.1989,1.1632,2.0357
2023-01-05,2.2031,1.1635,2.0396
2023-01-06,2.206,1.163,2.043
2023-01-09,2.2045,1.1635,2.041
2023-01-10,2.2008,1.1631,2.0377
2023-01-11,2.1991,1.1631,2.036
2023-01-12,2.2068,1.1633,2.0435
2023-01-13,2.2219,1.1631,2.0588
2023-01-16,2.2179,1.1624,2.0555
2023-01-17,2.2077,1.1625,2.0452
2023-01-18,2.2123,1.1622,2.0501
2023-01-19,2.2261,1.1621,2.064
2023-01-20,2.2325,1.162,2.0705
2023-01-30,2.2353,1.1633,2.072
2023-01-31,2.2348,1.1636,2.0712
2023-02-01,2.2422,1.1636,2.0786
2023-02-02,2.2459,1.1638,2.0821
2023-02-03,2.2394,1.164,2.0754
2023-02-06,2.2319,1.1642,2.0677
2023-02-07,2.2271,1.1643,2.0628
2023-02-08,2.2248,1.1645,2.0603
2023-02-09,2.2307,1.1646,2.0661
2023-02-10,2.2305,1.1649,2.0656
2023-02-13,2.2332,1.1653,2.0679
2023-02-14,2.2317,1.1655,2.0662
2023-02-15,2.2317,1.1657,2.066
2023-02-16,2.2206,1.1659,2.0547
2023-02-17,2.2265,1.166,2.0605
2023-02-20,2.2259,1.1655,2.0604
2023-02-21,2.2238,1.1652,2.0586
2023-02-22,2.2277,1.1655,2.0622
2023-02-23,2.2185,1.1656,2.0529
2023-02-24,2.2125,1.1655,2.047
2023-02-27,2.2106,1.1658,2.0448
2023-02-28,2.2121,1.1658,2.0463
2023-03-01,2.2091,1.1661,2.043
2023-03-02,2.2016,1.1661,2.0355
2023-03-03,2.2033,1.1659,2.0374
2023-03-06,2.1889,1.167,2.0219
2023-03-07,2.1885,1.1674,2.0211
2023-03-08,2.1949,1.1677,2.0272
2023-03-09,2.2018,1.168,2.0338
2023-03-10,2.2236,1.1683,2.0553
2023-03-13,2.23,1.1688,2.0612
2023-03-14,2.2275,1.1691,2.0584
2023-03-15,2.2269,1.1691,2.0578
2023-03-16,2.2403,1.1692,2.0711
2023-03-17,2.2459,1.1698,2.0761
2023-03-20,2.2474,1.1709,2.0765
2023-03-21,2.2509,1.171,2.0799
2023-03-22,2.2472,1.1709,2.0763
2023-03-23,2.2518,1.1712,2.0806
2023-03-24,2.2626,1.1709,2.0917
2023-03-27,2.2551,1.1717,2.0834
2023-03-28,2.2386,1.1718,2.0668
2023-03-29,2.2388,1.1718,2.067
2023-03-30,2.239,1.1719,2.0671
2023-03-31,2.239,1.1722,2.0668
2023-04-03,2.2305,1.1726,2.0579
2023-04-04,2.2369,1.1727,2.0642
