date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2024-08-23,1.198,3.392,4.9361,1.7045,4.2316
2024-08-30,1.2,3.394,4.9443,1.7443,4.2
2024-09-06,1.178,3.372,4.8537,1.6608,4.1929
2024-09-13,1.167,3.361,4.8083,1.6697,4.1386
2024-09-20,1.162,3.356,4.7877,1.6922,4.0956
2024-09-27,1.266,3.46,5.2162,1.7646,4.4516
2024-09-30,1.306,3.5,5.3811,1.8245,4.5565
2024-10-11,1.391,3.585,5.7313,1.8128,4.9185
2024-10-18,1.4,3.594,5.7684,1.7802,4.9882
2024-10-25,1.366,3.56,5.6283,1.7976,4.8307
2024-11-01,1.366,3.56,5.6283,1.7991,4.8292
2024-11-08,1.395,3.589,5.7478,1.8156,4.9322
2024-11-15,1.382,3.576,5.6942,1.7485,4.9457
2024-11-22,1.416,3.61,5.8343,1.7707,5.0636
2024-11-29,1.416,3.61,5.8343,1.7794,5.0549
2024-12-06,1.4,3.594,5.7684,1.7647,5.0037
2024-12-13,1.379,3.573,5.6818,1.7826,4.8993
2024-12-20,0.994,3.556,5.6027,1.7417,4.861
2024-12-27,1.004,3.566,5.6591,1.7463,4.9127
2025-01-03,0.985,3.547,5.552,1.7533,4.7986
2025-01-10,0.989,3.551,5.5745,1.7584,4.8161
2025-01-17,1.017,3.579,5.7323,1.8299,4.9024
2025-01-24,1.009,3.571,5.6872,1.8063,4.8809
2025-01-27,1.004,3.566,5.6591,1.8057,4.8533
2025-02-07,1.033,3.595,5.8225,1.8342,4.9883
2025-02-14,1.051,3.613,5.924,1.8182,5.1057
2025-02-21,1.03,3.592,5.8056,1.8319,4.9737
2025-02-28,1.034,3.596,5.8282,1.8007,5.0274
2025-03-07,1.049,3.611,5.9127,1.7728,5.1399
2025-03-14,1.091,3.653,6.1494,1.7967,5.3527
2025-03-21,1.077,3.639,6.0705,1.7786,5.292
2025-03-28,1.082,3.644,6.0987,1.8006,5.2981
2025-04-03,1.107,3.669,6.2396,1.7926,5.447
