date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2024-10-18,1.9551,1.9551,1.9551,1.7831,1.172
2024-10-25,1.9484,1.9484,1.9484,1.8006,1.1478
2024-11-01,1.9488,1.9488,1.9488,1.8021,1.1467
2024-11-08,1.9874,1.9874,1.9874,1.8186,1.1688
2024-11-15,1.9895,1.9895,1.9895,1.7515,1.238
2024-11-22,1.972,1.972,1.972,1.7737,1.1983
2024-11-29,1.9593,1.9593,1.9593,1.7824,1.1769
2024-12-06,2.0066,2.0066,2.0066,1.7676,1.239
2024-12-13,1.9887,1.9887,1.9887,1.7855,1.2032
2024-12-20,2.0061,2.0061,2.0061,1.7446,1.2615
2024-12-27,1.9976,1.9976,1.9976,1.7492,1.2484
2025-01-03,2.0073,2.0073,2.0073,1.7563,1.251
2025-01-10,2.0098,2.0098,2.0098,1.7613,1.2485
2025-01-17,1.9811,1.9811,1.9811,1.833,1.1481
2025-01-24,1.9618,1.9618,1.9618,1.8094,1.1524
2025-01-27,1.9564,1.9564,1.9564,1.8087,1.1477
2025-02-07,1.9958,1.9958,1.9958,1.8373,1.1585
2025-02-14,2.0026,2.0026,2.0026,1.8213,1.1813
2025-02-21,1.9978,1.9978,1.9978,1.8349,1.1629
2025-02-28,1.9655,1.9655,1.9655,1.8038,1.1617
2025-03-07,1.9779,1.9779,1.9779,1.7757,1.2022
2025-03-14,1.9759,1.9759,1.9759,1.7997,1.1762
2025-03-21,1.985,1.985,1.985,1.7816,1.2034
2025-03-28,1.9658,1.9658,1.9658,1.8036,1.1622
2025-04-03,1.9773,1.9773,1.9773,1.7956,1.1817
2025-04-11,1.9872,1.9872,1.9872,1.704,1.2832
2025-04-18,2.0149,2.0149,2.0149,1.7108,1.3041
2025-04-25,2.006,2.006,2.006,1.733,1.273
