date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2024-11-01,1.645,1.645,1.645,1.7476,0.8974
2024-11-08,1.635,1.635,1.635,1.7636,0.8714
2024-11-15,1.647,1.647,1.647,1.6985,0.9485
2024-11-22,1.639,1.639,1.639,1.72,0.919
2024-11-29,1.631,1.631,1.631,1.7284,0.9026
2024-12-06,1.653,1.653,1.653,1.7142,0.9388
2024-12-13,1.637,1.637,1.637,1.7315,0.9055
2024-12-20,1.66,1.66,1.66,1.6919,0.9681
2024-12-27,1.651,1.651,1.651,1.6963,0.9547
2025-01-03,1.669,1.669,1.669,1.7031,0.9659
2025-01-10,1.675,1.675,1.675,1.708,0.967
2025-01-17,1.678,1.678,1.678,1.7775,0.9005
2025-01-24,1.661,1.661,1.661,1.7546,0.9064
2025-01-27,1.659,1.659,1.659,1.754,0.905
2025-02-07,1.659,1.659,1.659,1.7817,0.8773
2025-02-14,1.654,1.654,1.654,1.7662,0.8878
2025-02-21,1.644,1.644,1.644,1.7794,0.8646
2025-02-28,1.628,1.628,1.628,1.7492,0.8788
2025-03-07,1.632,1.632,1.632,1.722,0.91
2025-03-14,1.629,1.629,1.629,1.7453,0.8837
2025-03-21,1.634,1.634,1.634,1.7277,0.9063
2025-03-28,1.631,1.631,1.631,1.7491,0.8819
2025-04-03,1.628,1.628,1.628,1.7413,0.8867
2025-04-11,1.625,1.625,1.625,1.6524,0.9726
2025-04-18,1.624,1.624,1.624,1.6591,0.9649
2025-04-25,1.62,1.62,1.62,1.6806,0.9394
